Ss = 0.05,
T,Sa
0,0.021333333
0.05,0.034666667
0.1,0.048
0.12,0.053333333
0.15,0.053333333
0.2,0.053333333
0.25,0.053333333
0.3,0.053333333
0.35,0.053333333
0.4,0.053333333
0.45,0.053333333
0.5,0.053333333
0.55,0.053333333
0.6,0.053333333
0.65,0.049230769
0.7,0.045714286
0.75,0.042666667
0.8,0.04
0.85,0.037647059
0.9,0.035555556
0.95,0.033684211
1,0.032
1.05,0.03047619
1.1,0.029090909
1.15,0.027826087
1.2,0.026666667
1.25,0.0256
1.3,0.024615385
1.35,0.023703704
1.4,0.022857143
1.45,0.022068966
1.5,0.021333333
1.55,0.020645161
1.6,0.02
1.65,0.019393939
1.7,0.018823529
1.75,0.018285714
1.8,0.017777778
1.85,0.017297297
1.9,0.016842105
1.95,0.016410256
2,0.016
