Ss = 2,
T,Sa
0,0.533333333
0.05,0.866666667
0.1,1.2
0.12,1.333333333
0.15,1.333333333
0.2,1.333333333
0.25,1.333333333
0.3,1.333333333
0.35,1.333333333
0.4,1.333333333
0.45,1.333333333
0.5,1.333333333
0.55,1.333333333
0.57,1.333333333
0.581,1.333333333
0.6,1.333333333
0.65,1.230769231
0.7,1.142857143
0.75,1.066666667
0.8,1
0.85,0.941176471
0.9,0.888888889
0.95,0.842105263
1,0.8
1.05,0.761904762
1.1,0.727272727
1.15,0.695652174
1.2,0.666666667
1.25,0.64
1.3,0.615384615
1.35,0.592592593
1.4,0.571428571
1.45,0.551724138
1.5,0.533333333
1.55,0.516129032
1.6,0.5
1.65,0.484848485
1.7,0.470588235
1.75,0.457142857
1.8,0.444444444
1.85,0.432432432
1.9,0.421052632
1.95,0.41025641
2,0.4
